Time (s),Voltage (V)
5.0928036224058,0.399548083543778
5.12520362158727,0.400598108768463
5.15120362093052,0.401667237281799
5.1776036202636,0.402831792831421
5.21140361940971,0.403843641281128
5.23660361877313,0.404855489730835
5.26800361797993,0.405924618244171
5.29300361734829,0.406936466693878
5.32520361653491,0.407948315143585
5.34920361592862,0.40897923707962
5.37700361522627,0.410029262304306
5.40880361442299,0.411041110754013
5.43540361375099,0.412091135978699
5.46700361295271,0.413102984428406
5.49440361226047,0.414133936166763
5.51940361162903,0.415241211652756
5.55420361074991,0.416310340166092
5.5834036100122,0.417341291904449
5.61140360930492,0.418353110551834
5.64380360848639,0.419384062290192
5.67100360779921,0.420414984226227
5.69580360717268,0.421426832675934
5.72880360633911,0.422438681125641
5.75620360564687,0.423565089702606
5.79080360477278,0.424576938152313
5.8166036041211,0.425607860088348
5.84620360337328,0.426638811826706
5.8766036026054,0.427688837051392
5.90800360181211,0.428738862276077
5.93740360106941,0.429750710725784
5.96960360025599,0.430762529373169
5.99700359956378,0.431793481111526
6.02700359880589,0.432862609624863
6.05620359806829,0.433931708335876
6.08960359722448,0.434943556785584
6.11840359649702,0.435993582010269
6.15180359565321,0.437024533748627
6.18280359487011,0.438093632459641
6.21420359407688,0.439105480909348
6.24500359329878,0.440193712711334
6.27400359256617,0.441224634647369
6.30880359168708,0.442274659872055
6.335803591005,0.443305611610413
6.36800359019151,0.44431746006012
6.39740358944877,0.445329278707504
6.42940358864038,0.446398407220841
6.46000358786739,0.447467535734177
6.49220358705395,0.448479384183884
6.52660358618499,0.449567586183548
6.55600358544231,0.450579434633255
6.59060358456821,0.451629459857941
6.61940358384058,0.452660381793976
6.65400358296657,0.453672230243683
6.68380358221378,0.45470318198204
6.71600358140029,0.455734103918076
6.7486035805768,0.45684140920639
6.7818035797381,0.457853257656097
6.81560357888418,0.458903282880783
6.84960357802527,0.459934234619141
6.87700357733308,0.460984259843826
6.9132035764186,0.461996108293533
6.94160357570121,0.463103413581848
6.97820357477656,0.464134335517883
7.0126035739076,0.46514618396759
7.04440357310418,0.466215312480927
7.07740357227058,0.467227131128311
7.1094035714622,0.468334436416626
7.14900357046179,0.469422668218613
7.17720356974939,0.470453590154648
7.21120356889048,0.471465438604355
7.24920356793061,0.472515463829041
7.27800356720297,0.473546415567398
7.31520356626328,0.474558234214783
7.34760356544479,0.47558918595314
7.3790035646515,0.476601034402847
7.41260356380269,0.477631956338882
7.44840356289828,0.478681981563568
7.48000356210011,0.479751110076904
7.5158035611957,0.48080113530159
7.55200356028118,0.481832087039948
7.58900355934648,0.482901185750961
7.62100355853809,0.483951210975647
7.65360355771458,0.484982162714005
7.69200355674448,0.486070364713669
7.72900355580984,0.487139493227005
7.76580355488008,0.48817041516304
7.7952035541374,0.489220440387726
7.8332035531775,0.490308672189713
7.86940355226298,0.49132052063942
7.90360355139899,0.492370545864105
7.93640355057042,0.49340146780014
7.97420354961548,0.494432419538498
8.01120354868078,0.495539724826813
8.04600354780169,0.496551543474197
8.07920354696296,0.497582495212555
8.11660354601821,0.49861341714859
8.15520354504309,0.499720722436905
8.19260354409829,0.500770747661591
8.2282035431989,0.501801729202271
8.26440354228438,0.502870857715607
8.29880354141537,0.503901779651642
8.33640354046562,0.504913628101349
8.37420353951069,0.505963623523712
8.41080353858609,0.506994605064392
8.44140353781313,0.508044600486755
8.48260353677227,0.509056448936462
8.51640353591844,0.51010650396347
8.55540353493322,0.511137425899506
8.59540353392268,0.512149274349213
8.6310035330234,0.513199269771576
8.66680353211902,0.514211118221283
8.70340353119437,0.515261173248291
8.73780353032541,0.516368448734283
8.77820352930476,0.51738029718399
8.81740352831449,0.518449425697327
8.85600352733942,0.519518554210663
8.8944035263693,0.520644962787628
8.93640352530829,0.521694958209992
8.97480352433823,0.522706806659698
9.00820352349447,0.523775935173035
9.05220352238294,0.524787783622742
9.08680352150893,0.525799632072449
9.12440352055901,0.526830554008484
9.15980351966468,0.527861475944519
9.19940351866441,0.528911530971527
9.23900351766397,0.529980659484863
9.28140351659292,0.531068861484528
9.3200035156178,0.532137989997864
9.35880351463763,0.533149838447571
9.3980035136473,0.534161686897278
9.43620351268228,0.535230755805969
9.47300351175258,0.536242604255676
9.51720351063605,0.537292659282684
9.55740350962051,0.538304507732391
9.59520350866561,0.539354503154755
9.63360350769548,0.540385484695435
9.67620350661937,0.541397333145142
9.71480350564431,0.542428255081177
9.7526035046894,0.543440103530884
9.79220350368897,0.544451951980591
9.83380350263812,0.545482873916626
9.87320350164268,0.546494722366333
9.9092035007333,0.547525644302368
9.95220349964703,0.548556566238403
9.99480349857092,0.54962569475174
10.0350034975553,0.550675749778748
10.0764034965095,0.551725745201111
10.1148034955394,0.552737593650818
10.1578034944531,0.553825795650482
10.1988034934174,0.554856777191162
10.2388034924069,0.555906772613525
10.2816034913257,0.55693769454956
10.3188034903859,0.55796867609024
10.3640034892441,0.559018671512604
10.4120034880315,0.560106873512268
10.4536034869806,0.561118721961975
10.4960034859095,0.56214964389801
10.5368034848788,0.563161492347717
10.5728034839694,0.564173340797424
10.6186034828124,0.565185189247131
10.6592034817867,0.566330671310425
10.7080034805539,0.567399799823761
10.753603479402,0.568411648273468
10.7938034783864,0.569423496723175
10.8366034773052,0.570473551750183
10.8770034762846,0.57148540019989
10.9206034751832,0.572516322135925
10.9574034742535,0.573528170585632
11.0058034730309,0.574635446071625
11.0518034718688,0.575742781162262
11.097003470727,0.576754629611969
11.1418034695952,0.577766478061676
11.1838034685342,0.578778266906738
11.2298034673721,0.579828321933746
11.2754034662202,0.580878376960754
11.3174034651592,0.58190929889679
11.363803463987,0.582959294319153
11.4080034628704,0.58397114276886
11.4508034617892,0.58500212430954
11.4976034606069,0.58612847328186
11.5414034595005,0.587216675281525
11.5878034583283,0.588247656822205
11.6368034570905,0.589393138885498
11.688003455797,0.590481340885162
11.7348034546148,0.591493189334869
11.7794034534881,0.592524111270905
11.8282034522553,0.59355503320694
11.8730034511235,0.594585955142975
11.9178034499918,0.595597803592682
11.9606034489106,0.596609652042389
12.004603447799,0.597697913646698
12.0558034465056,0.598786115646362
12.1020034453385,0.599874317646027
12.1542034440198,0.600886166095734
12.2022034428073,0.60195529460907
12.252603441534,0.602967143058777
12.2944034404781,0.604036211967468
12.3416034392857,0.605048060417175
12.3952034379317,0.606059908866882
12.4364034368909,0.607090890407562
12.4868034356177,0.608121812343597
12.5324034344657,0.609133660793304
12.5792034332834,0.610298216342926
12.6370034318233,0.611310064792633
12.6794034307522,0.61232191324234
